experiment_tag,run_type,policy_id,policy,policy_label,discovery_mode,scenario,graph_size,episodes,timesteps,seeds,adaptive_enabled,bounded_discovery_enabled,OCA,MVA,Macro_F1_mean,mean_sources,mean_discovery_cost,mean_recruitment_cost,mean_selection_cost,mean_total_operational_cost,mean_latency_proxy,mean_privacy_cost,OCA_per_source,OCA_per_total_cost
main_default,main,ego_only,ego_only,Ego-only,exhaustive_hop,nominal,60,50,48,"7,11,13,17,19",True,False,0.1395,0.5734166666666668,0.5189061312999154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1395,0.1395
main_default,main,opportunistic_all,opportunistic_all,Opportunistic all,exhaustive_hop,nominal,60,50,48,"7,11,13,17,19",True,False,0.8045,0.948375,0.9329024579153715,53.456,156.6452,84.40909748970915,0.0,241.05429748970914,1.3138984047358122,8.49106699774092,0.015049760550733312,0.0033374223499763366
main_default,main,siot_aware,siot_aware,SIoT-aware,bounded_relationship_guided,nominal,60,50,48,"7,11,13,17,19",True,True,0.21925,0.6763125,0.6356477962755798,3.2083333333333335,51.32710416666667,4.6538775124918335,8.14225,56.7952066791585,0.5839875478097704,1.0436268556009907,0.06833766233766234,0.0038603609850134716
main_default,main,siot_aware_trust_privacy,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,nominal,60,50,48,"7,11,13,17,19",True,True,0.2029166666666667,0.6626458333333334,0.6216500014751606,2.9824166666666665,51.32710416666667,4.308678621169416,8.14225,56.450007787836086,0.5681629325694556,0.9668067646818232,0.06803766520439242,0.0035946260172242425
main_default,main,ego_only,ego_only,Ego-only,exhaustive_hop,degraded_ego,60,50,48,"7,11,13,17,19",True,False,0.020666666666666667,0.3448333333333333,0.2882171938385238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020666666666666667,0.020666666666666667
main_default,main,opportunistic_all,opportunistic_all,Opportunistic all,exhaustive_hop,degraded_ego,60,50,48,"7,11,13,17,19",True,False,0.7739166666666666,0.939875,0.934001259351884,53.552,157.55159999999998,84.85807355021305,0.0,242.40967355021306,1.3296776177198293,8.507045907834817,0.01445168558908475,0.0031925981143089838
main_default,main,siot_aware,siot_aware,SIoT-aware,bounded_relationship_guided,degraded_ego,60,50,48,"7,11,13,17,19",True,True,0.1535,0.6202291666666667,0.5960421871130331,4.1315,52.92824166666667,5.886588586836583,8.256583333333332,59.64048858683658,0.6321403307644375,1.1027906157521925,0.037153576182984385,0.0025737549043801664
main_default,main,siot_aware_trust_privacy,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,degraded_ego,60,50,48,"7,11,13,17,19",True,True,0.1365,0.60325,0.5783268764942132,3.887666666666667,52.92824166666667,5.5322275900402875,8.256583333333332,59.28612759004029,0.6179454831132857,1.0514639104501238,0.03511103489668181,0.0023023935876515435
main_default,main,ego_only,ego_only,Ego-only,exhaustive_hop,ambiguous_local_context,60,50,48,"7,11,13,17,19",True,False,0.05233333333333333,0.46639583333333323,0.4130114314479026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05233333333333333,0.05233333333333333
main_default,main,opportunistic_all,opportunistic_all,Opportunistic all,exhaustive_hop,ambiguous_local_context,60,50,48,"7,11,13,17,19",True,False,0.743,0.9313958333333333,0.9186676819866793,53.532,156.55299999999997,84.63707405493393,0.0,241.19007405493392,1.320246825908482,8.487455503975278,0.01387954868116267,0.0030805579496226403
main_default,main,siot_aware,siot_aware,SIoT-aware,bounded_relationship_guided,ambiguous_local_context,60,50,48,"7,11,13,17,19",True,True,0.1363333333333333,0.6050208333333333,0.5703254651184047,3.39925,51.54661250000001,4.926140124736458,8.11925,57.28467762473645,0.6032577063149135,1.0624354317209157,0.04010688632296339,0.0023799266922026347
main_default,main,siot_aware_trust_privacy,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,ambiguous_local_context,60,50,48,"7,11,13,17,19",True,True,0.12158333333333333,0.5897916666666667,0.5551334722648299,3.119,51.54661250000001,4.496512125208301,8.11925,56.8550496252083,0.5823892025699686,0.9699123087318772,0.03898151116810943,0.0021384790644774303
main_default,main,ego_only,ego_only,Ego-only,exhaustive_hop,noisy_untrusted_external,60,50,48,"7,11,13,17,19",True,False,0.08341666666666667,0.5084166666666666,0.45187470841547184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08341666666666667,0.08341666666666667
main_default,main,opportunistic_all,opportunistic_all,Opportunistic all,exhaustive_hop,noisy_untrusted_external,60,50,48,"7,11,13,17,19",True,False,0.30275,0.7494583333333332,0.7107154045404376,53.452,156.61459999999997,88.65634109711159,0.0,245.27094109711157,1.5425553814447772,8.456652546969709,0.005663960188580409,0.0012343492410710425
main_default,main,siot_aware,siot_aware,SIoT-aware,bounded_relationship_guided,noisy_untrusted_external,60,50,48,"7,11,13,17,19",True,True,0.09783333333333334,0.5527708333333332,0.5076344130471722,2.0875,52.120341666666675,3.10512191742486,8.194083333333333,56.044871917424864,0.6601511459637527,0.7182729512852639,0.04686626746506987,0.0017456250676686096
main_default,main,siot_aware_trust_privacy,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,noisy_untrusted_external,60,50,48,"7,11,13,17,19",True,True,0.09508333333333334,0.5478333333333333,0.5020121415394716,1.475,52.120341666666675,2.1818692666072144,8.194083333333333,55.12161926660722,0.6253616659044935,0.5040096304299805,0.0644632768361582,0.0017249735149006227
