experiment_tag,run_type,policy_id,policy,policy_label,discovery_mode,scenario,graph_size,episodes,timesteps,seeds,adaptive_enabled,bounded_discovery_enabled,OCA,OCA_ci95_low,OCA_ci95_high,MVA,MVA_ci95_low,MVA_ci95_high,convergence_time,convergence_time_ci95_low,convergence_time_ci95_high
main_default,main,ego_only,ego_only,Ego-only,exhaustive_hop,nominal,60,50,48,"7,11,13,17,19",True,False,0.1395,0.1334979166666667,0.14566666666666667,0.5734166666666668,0.5687697916666666,0.5785854166666666,5.1449372635045,4.852742195319809,5.430709824698409
main_default,main,opportunistic_all,opportunistic_all,Opportunistic all,exhaustive_hop,nominal,60,50,48,"7,11,13,17,19",True,False,0.8045,0.7935,0.8160895833333333,0.948375,0.9451458333333334,0.9515416666666667,0.24082944509058926,0.22329323708007,0.25776196180643496
main_default,main,siot_aware,siot_aware,SIoT-aware,bounded_relationship_guided,nominal,60,50,48,"7,11,13,17,19",True,True,0.21925,0.2114166666666667,0.22750208333333333,0.6763125,0.6716239583333333,0.6816046875000001,3.35704891283075,3.1689021518141556,3.5643099557014875
main_default,main,siot_aware_trust_privacy,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,nominal,60,50,48,"7,11,13,17,19",True,True,0.2029166666666667,0.1953333333333333,0.21025,0.6626458333333334,0.658103125,0.6674182291666667,3.575237243406498,3.3840434093399763,3.7800243345762508
main_default,main,ego_only,ego_only,Ego-only,exhaustive_hop,degraded_ego,60,50,48,"7,11,13,17,19",True,False,0.020666666666666667,0.018,0.023166666666666665,0.3448333333333333,0.3402067708333334,0.34941927083333335,24.594422389167498,22.212221708017168,27.02767166813015
main_default,main,opportunistic_all,opportunistic_all,Opportunistic all,exhaustive_hop,degraded_ego,60,50,48,"7,11,13,17,19",True,False,0.7739166666666666,0.76275,0.7845,0.939875,0.9368531250000001,0.9427505208333333,0.2910996000813885,0.2716057969312317,0.3112151535171974
main_default,main,siot_aware,siot_aware,SIoT-aware,bounded_relationship_guided,degraded_ego,60,50,48,"7,11,13,17,19",True,True,0.1535,0.14558125,0.16167499999999999,0.6202291666666667,0.612875,0.6270213541666667,4.978320868895245,4.53312730497801,5.521453839332304
main_default,main,siot_aware_trust_privacy,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,degraded_ego,60,50,48,"7,11,13,17,19",True,True,0.1365,0.12883125,0.1440833333333333,0.60325,0.5964369791666666,0.6101671875000001,5.633456656204532,5.052487146975675,6.314999215832258
main_default,main,ego_only,ego_only,Ego-only,exhaustive_hop,ambiguous_local_context,60,50,48,"7,11,13,17,19",True,False,0.05233333333333333,0.04841666666666667,0.05625,0.46639583333333323,0.46156197916666664,0.47095989583333336,11.854413579024229,10.541311872779879,13.429450311759876
main_default,main,opportunistic_all,opportunistic_all,Opportunistic all,exhaustive_hop,ambiguous_local_context,60,50,48,"7,11,13,17,19",True,False,0.743,0.7294083333333333,0.756,0.9313958333333333,0.9280609375,0.9350005208333334,0.352712394553041,0.3264256745268302,0.37926870079204816
main_default,main,siot_aware,siot_aware,SIoT-aware,bounded_relationship_guided,ambiguous_local_context,60,50,48,"7,11,13,17,19",True,True,0.1363333333333333,0.13033124999999998,0.14233541666666666,0.6050208333333333,0.5995,0.6103338541666666,5.174127406215148,4.824104787210941,5.541994078252351
main_default,main,siot_aware_trust_privacy,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,ambiguous_local_context,60,50,48,"7,11,13,17,19",True,True,0.12158333333333333,0.11583125000000001,0.12783333333333333,0.5897916666666667,0.5850192708333332,0.5945427083333333,5.742378921411674,5.28618153680857,6.316971931156215
main_default,main,ego_only,ego_only,Ego-only,exhaustive_hop,noisy_untrusted_external,60,50,48,"7,11,13,17,19",True,False,0.08341666666666667,0.07833125,0.08842291666666666,0.5084166666666666,0.5036666666666667,0.5134822916666666,8.048235768478209,7.324203781878744,8.857975672407072
main_default,main,opportunistic_all,opportunistic_all,Opportunistic all,exhaustive_hop,noisy_untrusted_external,60,50,48,"7,11,13,17,19",True,False,0.30275,0.29474791666666667,0.31108541666666667,0.7494583333333332,0.7453119791666667,0.7539796875000001,2.1836058172195214,2.0589019183053994,2.3081373625834054
main_default,main,siot_aware,siot_aware,SIoT-aware,bounded_relationship_guided,noisy_untrusted_external,60,50,48,"7,11,13,17,19",True,True,0.09783333333333334,0.09183333333333332,0.10366666666666666,0.5527708333333332,0.5477708333333332,0.558021875,7.322136913453526,6.669251435485141,8.030477513919749
main_default,main,siot_aware_trust_privacy,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,noisy_untrusted_external,60,50,48,"7,11,13,17,19",True,True,0.09508333333333334,0.08941666666666667,0.10075,0.5478333333333333,0.5430411458333334,0.5525229166666666,7.685282712123013,6.952989049602774,8.60154453377106
