scenario,policy,policy_label,discovery_mode,adaptive_mode,OCA,OCA_ci95_low,OCA_ci95_high,MVA,mean_sources,mean_discovery_cost,mean_total_operational_cost,latency_proxy,privacy_cost,adaptive_activation_rate
nominal,siot_aware,SIoT-aware,bounded_relationship_guided,adaptive_disabled,0.1965833333333333,0.18883333333333333,0.205,0.65825,2.904,50.869400000000006,55.92930469117187,0.5714260800474837,1.016775709985063,0.0
nominal,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,adaptive_disabled,0.18183333333333332,0.1746666666666667,0.18908541666666667,0.6440416666666666,2.664,50.869400000000006,55.55918749294999,0.554040101244067,0.9289679168943291,0.0
degraded_ego,siot_aware,SIoT-aware,bounded_relationship_guided,adaptive_disabled,0.08391666666666665,0.07775,0.08983333333333333,0.5408125,2.752,50.9282,55.77421626601376,0.5657532953150272,0.9760625543780481,0.0
degraded_ego,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,adaptive_disabled,0.07475,0.06933333333333333,0.07991666666666668,0.5238958333333332,2.524,50.9282,55.421745033490254,0.5498149279613744,0.890581076944551,0.0
ambiguous_local_context,siot_aware,SIoT-aware,bounded_relationship_guided,adaptive_disabled,0.10525,0.1,0.11066875000000001,0.572375,2.872,50.857600000000005,55.88450105568488,0.5799164722855364,1.0152104986709394,0.0
ambiguous_local_context,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,adaptive_disabled,0.09508333333333334,0.09025,0.09991666666666665,0.5566458333333334,2.56,50.857600000000005,55.39938901774115,0.5564030035326124,0.8985993106732556,0.0
noisy_untrusted_external,siot_aware,SIoT-aware,bounded_relationship_guided,adaptive_disabled,0.09541666666666668,0.09016666666666666,0.10091666666666667,0.5452916666666665,1.868,51.1779,54.77700588470218,0.648656568576128,0.6643529694008604,0.0
noisy_untrusted_external,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,adaptive_disabled,0.08975,0.08433333333333333,0.09525,0.533625,1.044,51.1779,53.52692874314637,0.5998853635374907,0.3631140360202128,0.0
nominal,siot_aware,SIoT-aware,bounded_relationship_guided,adaptive_enabled,0.21925,0.21132291666666667,0.2275,0.6763125,3.2083333333333335,51.32710416666667,56.7952066791585,0.5839875478097704,1.0436268556009907,0.15783333333333335
nominal,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,adaptive_enabled,0.2029166666666667,0.1959145833333333,0.2104166666666667,0.6626458333333334,2.9824166666666665,51.32710416666667,56.450007787836086,0.5681629325694556,0.9668067646818232,0.15783333333333335
degraded_ego,siot_aware,SIoT-aware,bounded_relationship_guided,adaptive_enabled,0.1535,0.14515625,0.16141666666666668,0.6202291666666667,4.1315,52.92824166666667,59.64048858683658,0.6321403307644375,1.1027906157521925,0.7055833333333332
degraded_ego,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,adaptive_enabled,0.1365,0.12891666666666668,0.1435833333333333,0.60325,3.887666666666667,52.92824166666667,59.28612759004029,0.6179454831132857,1.0514639104501238,0.7055833333333332
ambiguous_local_context,siot_aware,SIoT-aware,bounded_relationship_guided,adaptive_enabled,0.1363333333333333,0.13058125,0.14266874999999998,0.6050208333333333,3.39925,51.54661250000001,57.28467762473645,0.6032577063149135,1.0624354317209157,0.2678333333333333
ambiguous_local_context,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,adaptive_enabled,0.12158333333333333,0.11525,0.12733333333333335,0.5897916666666667,3.119,51.54661250000001,56.8550496252083,0.5823892025699686,0.9699123087318772,0.2678333333333333
noisy_untrusted_external,siot_aware,SIoT-aware,bounded_relationship_guided,adaptive_enabled,0.09783333333333334,0.09258333333333334,0.10358333333333333,0.5527708333333332,2.0875,52.120341666666675,56.044871917424864,0.6601511459637527,0.7182729512852639,0.3124166666666667
noisy_untrusted_external,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,adaptive_enabled,0.09508333333333334,0.08933125,0.10066875,0.5478333333333333,1.475,52.120341666666675,55.12161926660722,0.6253616659044935,0.5040096304299805,0.3124166666666667
